booking_id,check_in,nights,lead_time_days,adults,children,country,room_type,market_segment,adr_eur,is_cancelled,revenue_eur
1,2025-02-10,12,23,2,1,UAE,Deluxe,Corporate,146.76,0,1761.12
2,2025-06-29,7,63,2,2,Egypt,Family,Corporate,189.5,0,1326.5
3,2025-07-07,12,145,1,1,Spain,Superior,OTA,151.24,0,1814.88
4,2025-10-08,11,137,2,0,Greece,Family,Corporate,201.77,0,2219.47
5,2025-05-05,6,19,1,2,UAE,Family,Corporate,142.67,0,856.02
6,2025-06-18,5,53,3,0,Portugal,Standard,Direct,94.31,0,471.55
7,2026-04-18,7,87,4,1,Greece,Family,Direct,145.96,0,1021.72
8,2025-01-11,5,29,4,0,UAE,Family,Corporate,167.92,0,839.6
9,2026-04-18,2,21,3,0,Portugal,Superior,Corporate,119.72,1,0.0
10,2025-10-13,14,41,2,0,Italy,Superior,Travel Agency,116.29,0,1628.06
11,2025-05-08,9,100,2,0,Spain,Deluxe,OTA,176.22,1,0.0
12,2026-03-28,6,45,2,0,Greece,Family,Direct,216.39,0,1298.34
13,2026-06-20,11,169,4,0,Egypt,Deluxe,Corporate,162.28,0,1785.08
14,2025-02-23,10,1,1,1,Greece,Superior,Travel Agency,101.05,0,1010.5
15,2025-09-02,4,23,1,1,Spain,Standard,Travel Agency,45.0,1,0.0
16,2025-07-16,11,171,1,0,Italy,Superior,OTA,142.96,0,1572.56
17,2025-02-15,7,131,1,0,UAE,Suite,OTA,237.77,0,1664.39
18,2025-08-01,9,101,2,0,Greece,Superior,Direct,109.06,0,981.54
19,2026-01-01,6,44,1,1,UAE,Standard,Corporate,81.03,0,486.18
20,2025-08-06,8,56,1,0,UAE,Standard,Direct,91.08,0,728.64
21,2025-08-12,7,77,3,1,Italy,Suite,OTA,251.84,0,1762.88
22,2025-09-15,2,153,2,1,France,Deluxe,OTA,143.31,0,286.62
23,2025-11-22,14,170,2,0,UAE,Standard,Corporate,77.52,0,1085.28
24,2026-01-27,9,163,4,0,Spain,Superior,Direct,94.93,0,854.37
25,2025-05-08,5,60,4,1,Greece,Suite,Direct,222.31,0,1111.55
26,2025-03-03,3,95,2,0,Greece,Superior,Corporate,92.2,0,276.6
27,2025-07-29,11,9,2,2,Portugal,Deluxe,OTA,147.23,0,1619.53
28,2025-10-12,6,164,1,2,Egypt,Deluxe,Direct,127.58,0,765.48
29,2025-08-23,14,84,2,0,Greece,Suite,Direct,167.33,0,2342.62
30,2025-09-12,13,175,4,0,Egypt,Suite,Travel Agency,230.63,0,2998.19
31,2025-07-07,8,161,1,0,Portugal,Standard,OTA,49.06,0,392.48
32,2025-02-23,11,36,2,0,Italy,Superior,OTA,112.74,0,1240.14
33,2025-08-30,9,20,2,1,Turkey,Superior,OTA,94.84,1,0.0
34,2025-09-08,7,45,3,0,Turkey,Deluxe,Corporate,161.4,0,1129.8
35,2025-07-26,5,123,1,0,Egypt,Family,OTA,146.14,0,730.7
36,2026-04-28,8,108,3,2,Egypt,Superior,Corporate,66.2,1,0.0
37,2025-01-21,13,97,2,0,Turkey,Suite,OTA,237.58,0,3088.54
38,2025-06-29,5,97,2,0,Portugal,Deluxe,Corporate,139.6,0,698.0
39,2026-05-08,2,85,2,1,Greece,Superior,OTA,77.07,0,154.14
40,2025-01-05,1,128,4,0,Portugal,Family,Corporate,194.4,0,194.4
41,2026-02-09,12,95,2,1,Turkey,Suite,Direct,214.94,0,2579.28
42,2026-02-23,1,31,2,2,France,Superior,Corporate,91.19,0,91.19
43,2025-09-19,13,89,3,1,UAE,Standard,Corporate,104.38,0,1356.94
44,2026-03-11,12,63,2,1,Spain,Deluxe,Direct,162.89,0,1954.68
45,2025-06-01,5,154,2,0,Turkey,Superior,OTA,82.41,0,412.05
46,2025-01-13,2,23,4,1,Egypt,Suite,Direct,231.73,0,463.46
47,2026-06-15,4,108,2,1,Turkey,Deluxe,Corporate,120.08,1,0.0
48,2025-11-12,12,105,4,0,Italy,Suite,Travel Agency,262.34,0,3148.08
49,2025-05-27,5,53,4,1,Turkey,Standard,OTA,102.32,0,511.6
50,2026-05-19,1,24,1,1,Egypt,Deluxe,Corporate,195.74,0,195.74
51,2025-06-24,3,95,2,0,Greece,Family,OTA,232.04,0,696.12
52,2026-05-30,2,115,3,0,France,Superior,Direct,94.56,0,189.12
53,2025-07-07,13,49,2,1,Portugal,Suite,Direct,257.82,0,3351.66
54,2025-06-20,2,75,1,1,Italy,Deluxe,Direct,102.92,0,205.84
55,2025-12-17,1,149,2,1,Portugal,Standard,Direct,84.63,0,84.63
56,2025-03-04,5,1,4,2,Spain,Standard,OTA,90.64,0,453.2
57,2026-06-19,13,1,2,2,Turkey,Family,Corporate,151.19,0,1965.47
58,2025-12-12,10,109,2,0,UAE,Deluxe,OTA,133.08,0,1330.8
59,2026-01-05,11,102,2,2,Spain,Deluxe,Travel Agency,172.51,0,1897.61
60,2025-04-13,1,116,4,1,France,Standard,Direct,91.28,0,91.28
61,2026-06-28,5,179,2,0,Portugal,Suite,Corporate,281.68,0,1408.4
62,2026-06-12,7,169,2,0,UAE,Standard,Travel Agency,118.08,0,826.56
63,2025-02-16,13,83,4,1,Greece,Suite,Corporate,198.58,0,2581.54
64,2026-02-14,12,156,1,0,Egypt,Family,Direct,161.89,0,1942.68
65,2026-01-30,5,155,2,0,Spain,Superior,Corporate,83.75,0,418.75
66,2025-03-31,5,172,3,1,France,Family,Direct,193.94,0,969.7
67,2026-05-09,11,138,2,0,Greece,Superior,Direct,117.09,0,1287.99
68,2025-04-19,7,7,2,0,Egypt,Deluxe,OTA,125.3,1,0.0
69,2025-09-21,11,121,4,0,France,Suite,Corporate,218.83,0,2407.13
70,2025-04-03,13,177,2,0,Italy,Deluxe,Corporate,181.24,0,2356.12
71,2026-01-26,11,164,3,1,Greece,Superior,Travel Agency,99.55,1,0.0
72,2025-04-29,5,22,1,0,UAE,Suite,OTA,189.35,1,0.0
73,2025-04-29,10,94,2,0,Egypt,Suite,Direct,213.23,0,2132.3
74,2025-11-15,1,151,3,0,Egypt,Family,Travel Agency,222.79,0,222.79
75,2026-01-09,13,173,2,2,Greece,Standard,Corporate,105.19,0,1367.47
76,2025-01-10,9,117,2,0,Turkey,Superior,Corporate,78.63,1,0.0
77,2026-04-12,3,153,2,0,Spain,Suite,Travel Agency,244.62,0,733.86
78,2025-11-13,9,176,1,0,Portugal,Superior,Corporate,133.45,0,1201.05
79,2025-10-26,12,96,1,0,France,Superior,OTA,68.29,0,819.48
80,2025-02-23,14,45,2,1,Turkey,Superior,Direct,136.47,0,1910.58
81,2026-02-06,6,108,4,1,UAE,Family,Corporate,186.03,0,1116.18
82,2025-03-15,9,72,2,0,Egypt,Standard,OTA,61.67,0,555.03
83,2025-11-28,13,148,1,0,Portugal,Superior,OTA,125.08,0,1626.04
84,2026-03-29,12,123,2,0,Greece,Superior,OTA,117.45,0,1409.4
85,2025-01-10,6,147,1,0,Egypt,Family,OTA,184.19,0,1105.14
86,2025-02-27,2,91,2,0,Spain,Standard,Travel Agency,83.7,1,0.0
87,2026-03-21,3,160,4,1,Greece,Standard,Direct,57.97,0,173.91
88,2025-09-04,7,125,2,2,France,Family,Direct,157.19,0,1100.33
89,2026-04-20,14,166,2,0,Portugal,Deluxe,Direct,144.05,0,2016.7
90,2025-05-03,2,21,1,1,Greece,Standard,Corporate,81.15,0,162.3
91,2025-10-08,12,24,3,0,Egypt,Family,Corporate,191.64,0,2299.68
92,2025-11-02,10,32,1,0,Italy,Suite,OTA,288.53,1,0.0
93,2026-02-20,14,179,1,1,Portugal,Standard,Direct,85.79,1,0.0
94,2025-08-01,11,30,2,2,France,Standard,Corporate,96.16,0,1057.76
95,2025-11-18,2,10,2,2,Greece,Superior,Direct,132.04,1,0.0
96,2025-09-20,14,8,1,0,Turkey,Deluxe,OTA,168.03,1,0.0
97,2026-03-10,11,0,2,0,Spain,Suite,Travel Agency,217.09,0,2387.99
98,2026-04-01,3,147,2,0,UAE,Suite,OTA,273.89,1,0.0
99,2025-04-12,11,11,2,0,Greece,Superior,Travel Agency,139.25,0,1531.75
100,2025-08-09,3,154,3,0,UAE,Deluxe,OTA,153.36,0,460.08
101,2026-03-09,2,140,2,0,Egypt,Superior,Corporate,88.46,0,176.92
102,2026-04-13,2,65,4,1,France,Suite,OTA,240.75,0,481.5
103,2025-03-14,11,68,4,0,UAE,Suite,OTA,200.96,0,2210.56
104,2026-03-06,14,39,2,1,Egypt,Standard,OTA,117.59,1,0.0
105,2025-03-21,5,31,3,0,Egypt,Standard,Travel Agency,64.31,0,321.55
106,2025-04-02,6,85,2,0,Greece,Deluxe,Direct,142.8,0,856.8
107,2025-04-11,7,56,2,0,Italy,Superior,Travel Agency,145.46,0,1018.22
108,2026-05-17,2,135,2,2,Turkey,Suite,Travel Agency,177.8,0,355.6
109,2025-04-12,1,43,2,1,France,Deluxe,Corporate,181.92,0,181.92
110,2026-05-04,10,32,2,0,France,Superior,OTA,118.45,0,1184.5
111,2026-01-23,10,68,1,0,Greece,Suite,Corporate,281.91,0,2819.1
112,2026-04-14,3,112,2,1,Turkey,Deluxe,Corporate,126.36,0,379.08
113,2026-06-18,12,58,2,0,Turkey,Family,Travel Agency,183.46,0,2201.52
114,2025-04-03,11,20,1,0,Italy,Superior,Direct,86.55,0,952.05
115,2025-03-28,12,73,3,1,Spain,Family,OTA,202.52,0,2430.24
116,2026-05-07,8,131,4,2,Italy,Family,Direct,201.53,0,1612.24
117,2025-07-14,14,1,4,1,UAE,Superior,Direct,154.03,0,2156.42
118,2026-04-05,3,172,3,0,France,Standard,Travel Agency,79.99,0,239.97
119,2025-05-17,9,90,1,1,Portugal,Family,OTA,227.15,0,2044.35
120,2026-01-18,2,86,4,0,Italy,Deluxe,Travel Agency,124.63,0,249.26
121,2026-05-10,5,67,2,0,Egypt,Superior,Travel Agency,108.65,0,543.25
122,2026-06-12,14,9,2,2,Portugal,Standard,Travel Agency,55.44,0,776.16
123,2025-01-07,10,117,2,0,UAE,Standard,Direct,84.9,0,849.0
124,2025-12-25,12,47,2,0,Spain,Standard,Corporate,57.4,0,688.8
125,2026-05-19,4,21,3,2,France,Family,Direct,202.6,1,0.0
126,2026-05-15,1,39,4,0,Greece,Family,Corporate,186.88,0,186.88
127,2026-01-19,5,93,2,0,Turkey,Standard,Corporate,52.7,0,263.5
128,2026-03-26,3,35,2,1,Spain,Deluxe,OTA,170.87,0,512.61
129,2025-04-24,4,72,1,0,Egypt,Family,Travel Agency,214.75,0,859.0
130,2025-02-02,3,170,2,1,Turkey,Standard,Corporate,94.35,0,283.05
131,2026-05-16,9,126,4,0,UAE,Family,Corporate,140.85,0,1267.65
132,2025-05-15,2,27,1,0,France,Deluxe,Direct,146.28,0,292.56
133,2025-08-31,1,173,2,1,Spain,Family,Corporate,192.65,1,0.0
134,2025-10-24,5,124,1,1,Greece,Suite,OTA,233.93,0,1169.65
135,2026-06-08,3,63,2,0,Turkey,Superior,Corporate,84.34,0,253.02
136,2025-07-23,8,180,1,2,France,Superior,OTA,140.75,0,1126.0
137,2025-08-23,2,33,2,0,Turkey,Superior,OTA,102.89,0,205.78
138,2026-03-13,1,157,2,0,Spain,Family,Corporate,214.76,0,214.76
139,2026-06-22,5,179,4,0,Greece,Deluxe,Corporate,137.02,0,685.1
140,2026-05-06,1,130,2,0,Turkey,Standard,Travel Agency,71.48,0,71.48
141,2026-01-08,5,89,4,1,Greece,Deluxe,Direct,135.15,0,675.75
142,2025-07-06,1,0,1,0,Greece,Deluxe,Corporate,145.86,0,145.86
143,2025-10-14,10,25,2,0,Turkey,Family,Travel Agency,186.45,0,1864.5
144,2025-12-09,5,28,1,0,France,Deluxe,Travel Agency,125.51,0,627.55
145,2026-01-06,12,150,3,2,UAE,Superior,Travel Agency,81.17,1,0.0
146,2025-08-04,10,98,1,0,France,Suite,Direct,197.82,0,1978.2
147,2025-02-12,10,167,2,0,Portugal,Standard,Direct,45.0,0,450.0
148,2025-12-18,5,121,2,2,France,Standard,OTA,46.11,0,230.55
149,2025-07-16,7,140,4,0,UAE,Deluxe,Corporate,136.85,0,957.95
150,2025-05-01,7,17,2,1,Spain,Superior,Travel Agency,114.44,0,801.08
151,2025-05-13,5,11,3,0,Greece,Family,Corporate,185.01,0,925.05
152,2026-06-30,14,131,1,0,Portugal,Suite,Corporate,243.28,0,3405.92
153,2026-02-04,7,155,2,0,France,Standard,OTA,116.27,0,813.89
154,2025-08-12,10,178,1,2,Portugal,Suite,Travel Agency,285.18,0,2851.8
155,2025-11-07,14,56,2,0,Italy,Superior,OTA,103.0,1,0.0
156,2025-02-16,9,60,2,0,France,Deluxe,OTA,125.89,0,1133.01
157,2025-10-04,14,13,4,0,Greece,Suite,Direct,294.13,0,4117.82
158,2025-01-02,11,88,4,2,UAE,Deluxe,Direct,179.76,0,1977.36
159,2025-09-28,12,34,2,2,Turkey,Deluxe,Direct,177.65,0,2131.8
160,2025-01-11,14,91,2,0,France,Deluxe,Direct,135.9,1,0.0
161,2025-04-19,12,176,2,0,Greece,Family,OTA,196.54,0,2358.48
162,2025-11-29,5,52,3,1,France,Family,OTA,178.48,0,892.4
163,2026-03-21,6,37,2,0,Portugal,Superior,Corporate,108.15,0,648.9
164,2025-07-09,14,45,2,2,Portugal,Superior,Travel Agency,108.11,0,1513.54
165,2025-01-22,5,41,2,1,Greece,Standard,OTA,92.64,0,463.2
166,2025-03-15,7,62,2,1,Italy,Suite,OTA,277.23,1,0.0
167,2025-01-13,10,25,2,1,Spain,Standard,Direct,136.79,0,1367.9
168,2025-02-14,3,63,1,0,France,Suite,Direct,229.89,0,689.67
169,2025-01-10,13,27,3,0,Italy,Superior,OTA,114.89,1,0.0
170,2026-05-07,13,144,2,0,Turkey,Deluxe,Corporate,147.53,0,1917.89
171,2025-06-08,4,14,3,0,Italy,Standard,Direct,90.9,0,363.6
172,2025-04-16,9,75,1,2,Egypt,Superior,Direct,46.69,0,420.21
173,2025-08-18,1,58,2,1,France,Deluxe,Travel Agency,144.44,0,144.44
174,2025-08-20,11,98,4,0,Portugal,Superior,Direct,161.17,0,1772.87
175,2025-08-18,2,72,2,0,UAE,Standard,Travel Agency,63.13,0,126.26
176,2025-03-28,1,154,2,0,Egypt,Suite,Travel Agency,229.92,0,229.92
177,2025-07-05,11,108,2,0,Turkey,Deluxe,Direct,136.25,0,1498.75
178,2025-10-05,8,169,2,0,Italy,Standard,OTA,76.32,0,610.56
179,2025-05-31,6,37,2,1,Portugal,Standard,Direct,47.68,0,286.08
180,2026-03-14,12,71,2,0,UAE,Superior,OTA,96.7,1,0.0
181,2026-01-30,6,81,2,1,Portugal,Family,Travel Agency,185.65,0,1113.9
182,2025-05-22,13,167,2,1,Egypt,Suite,Corporate,250.46,0,3255.98
183,2026-05-20,9,137,2,1,Italy,Suite,Corporate,246.31,0,2216.79
184,2026-06-24,10,177,4,0,Italy,Superior,Travel Agency,144.61,0,1446.1
185,2025-01-03,4,4,2,2,Portugal,Superior,Direct,121.66,0,486.64
186,2025-03-03,6,92,2,0,Portugal,Superior,Corporate,143.66,0,861.96
187,2025-09-06,4,57,1,0,Italy,Superior,Corporate,166.81,0,667.24
188,2025-01-27,12,108,2,0,Italy,Suite,Direct,262.23,0,3146.76
189,2026-05-04,14,152,2,0,France,Deluxe,OTA,117.79,1,0.0
190,2025-03-22,4,19,1,2,Egypt,Superior,OTA,117.32,0,469.28
191,2026-04-27,12,35,4,2,Turkey,Family,Corporate,178.52,0,2142.24
192,2025-12-12,8,165,4,0,Turkey,Standard,OTA,119.72,0,957.76
193,2025-03-03,11,8,3,0,France,Standard,Corporate,77.21,0,849.31
194,2026-03-10,11,116,3,0,Turkey,Superior,Corporate,89.88,0,988.68
195,2025-06-10,5,23,3,1,France,Superior,Corporate,98.06,1,0.0
196,2025-02-27,4,100,2,2,Italy,Family,Corporate,143.62,0,574.48
