Booking_ID,Booking_Date,Destination,Channel,Booking_Type,Customer_Segment,Supplier,Quantity,Revenue_EUR,Cost_EUR,Status,Profit_EUR,Month,Cancellation_Flag,Year,Month_Name,Month_Number
B0001,2025-04-25,Spain,B2C,Package,Business,Supplier B,1,1423.85,1184.3,Cancelled,239.55,2025-04,1,2025,Apr,4
B0002,2025-03-31,Azerbaijan,B2C,Transfer,Leisure,Supplier A,1,91.32,66.49,Confirmed,24.83,2025-03,0,2025,Mar,3
B0003,2025-08-27,Thailand,B2C,Flight,Couple,Supplier B,2,922.99,649.51,Completed,273.48,2025-08,0,2025,Aug,8
B0004,2025-10-12,Spain,B2B,Hotel,Family,Supplier C,1,656.04,557.53,Confirmed,98.51,2025-10,0,2025,Oct,10
B0005,2025-08-09,UAE,B2C,Flight,Couple,Supplier A,1,278.48,210.19,Confirmed,68.29,2025-08,0,2025,Aug,8
B0006,2025-12-19,Azerbaijan,B2C,Package,Couple,Supplier E,1,1086.99,845.41,Confirmed,241.58,2025-12,0,2025,Dec,12
B0007,2026-01-23,Italy,B2B,Package,Business,Supplier A,1,895.51,673.95,Confirmed,221.56,2026-01,0,2026,Jan,1
B0008,2025-08-22,Turkey,B2C,Flight,Leisure,Supplier D,1,348.16,272.29,Completed,75.87,2025-08,0,2025,Aug,8
B0009,2026-04-10,UAE,B2B,Hotel,Family,Supplier B,1,550.21,443.82,Confirmed,106.39,2026-04,0,2026,Apr,4
B0010,2025-03-15,Azerbaijan,B2C,Hotel,Business,Supplier D,2,649.16,525.4,Confirmed,123.76,2025-03,0,2025,Mar,3
B0011,2025-10-04,Thailand,B2B,Hotel,Leisure,Supplier B,1,449.18,369.75,Confirmed,79.43,2025-10,0,2025,Oct,10
B0012,2025-11-20,Egypt,B2C,Package,Business,Supplier E,1,1147.91,828.75,Confirmed,319.16,2025-11,0,2025,Nov,11
B0013,2025-08-06,Portugal,B2B,Transfer,Business,Supplier C,1,116.88,88.37,Confirmed,28.51,2025-08,0,2025,Aug,8
B0014,2025-09-10,Thailand,B2B,Package,Couple,Supplier C,1,822.7,656.85,Confirmed,165.85,2025-09,0,2025,Sep,9
B0015,2025-05-22,Thailand,B2C,Transfer,Leisure,Supplier A,1,114.64,82.07,Confirmed,32.57,2025-05,0,2025,May,5
B0016,2025-06-13,Egypt,B2B,Flight,Couple,Supplier E,2,670.71,474.96,Confirmed,195.75,2025-06,0,2025,Jun,6
B0017,2026-06-26,Turkey,B2C,Flight,Family,Supplier C,1,187.52,159.24,Confirmed,28.28,2026-06,0,2026,Jun,6
B0018,2025-10-28,Egypt,B2B,Hotel,Leisure,Supplier C,3,1293.48,970.84,Confirmed,322.64,2025-10,0,2025,Oct,10
B0019,2025-07-02,Thailand,B2B,Flight,Business,Supplier B,1,349.04,249.01,Completed,100.03,2025-07,0,2025,Jul,7
B0020,2025-06-15,Thailand,B2B,Flight,Couple,Supplier A,1,285.5,239.54,Confirmed,45.96,2025-06,0,2025,Jun,6
B0021,2026-01-07,Turkey,B2C,Hotel,Business,Supplier E,1,695.89,583.73,Confirmed,112.16,2026-01,0,2026,Jan,1
B0022,2025-03-29,Portugal,B2C,Flight,Business,Supplier D,3,1210.33,925.33,Confirmed,285.0,2025-03,0,2025,Mar,3
B0023,2025-06-19,Turkey,B2C,Transfer,Business,Supplier C,2,207.62,157.7,Confirmed,49.92,2025-06,0,2025,Jun,6
B0024,2026-01-18,Portugal,B2C,Transfer,Business,Supplier B,1,120.95,91.44,Confirmed,29.51,2026-01,0,2026,Jan,1
B0025,2025-12-13,Spain,B2C,Hotel,Leisure,Supplier A,1,662.85,569.85,Confirmed,93.0,2025-12,0,2025,Dec,12
B0026,2025-08-23,Italy,B2B,Flight,Leisure,Supplier E,1,441.52,318.57,Completed,122.95,2025-08,0,2025,Aug,8
B0027,2025-10-13,Portugal,B2C,Hotel,Couple,Supplier B,2,1189.29,997.55,Confirmed,191.74,2025-10,0,2025,Oct,10
B0028,2026-02-21,Greece,B2C,Flight,Couple,Supplier C,2,915.62,727.09,Confirmed,188.53,2026-02,0,2026,Feb,2
B0029,2026-02-25,Portugal,B2C,Flight,Leisure,Supplier D,1,327.8,248.01,Confirmed,79.79,2026-02,0,2026,Feb,2
B0030,2025-04-22,Greece,B2C,Hotel,Couple,Supplier B,2,989.58,854.37,Confirmed,135.21,2025-04,0,2025,Apr,4
B0031,2025-07-07,Turkey,B2C,Transfer,Leisure,Supplier D,3,402.94,298.65,Confirmed,104.29,2025-07,0,2025,Jul,7
B0032,2025-04-11,Spain,B2C,Flight,Business,Supplier B,2,547.13,411.53,Confirmed,135.6,2025-04,0,2025,Apr,4
B0033,2026-05-13,Portugal,B2B,Hotel,Leisure,Supplier B,2,1356.82,1146.05,Confirmed,210.77,2026-05,0,2026,May,5
B0034,2025-01-03,Egypt,B2B,Package,Family,Supplier D,3,4095.19,3524.57,Confirmed,570.62,2025-01,0,2025,Jan,1
B0035,2026-05-14,France,B2B,Hotel,Business,Supplier A,3,1301.55,964.49,Confirmed,337.06,2026-05,0,2026,May,5
B0036,2025-03-04,UAE,B2C,Flight,Couple,Supplier E,3,871.92,738.73,Completed,133.19,2025-03,0,2025,Mar,3
